"product_name","product_link","category_link"
"Cry Baby CB95 Wah Wah Pedal","https://www.ghmusic.com.au/cry-baby-wah-wah-pedal.html","https://www.ghmusic.com.au/guitars?limit=all"
"Cry Baby 535Q Multi Wah Pedal","https://www.ghmusic.com.au/cry-baby-535q-multi-wah-pedal.html","https://www.ghmusic.com.au/guitars?limit=all"
"Vox V845 Wah Pedal","https://www.ghmusic.com.au/vox-v845-wah-pedal.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin SP Custom Light Phosphor Bronze Guitar Strings","https://www.ghmusic.com.au/martin-sp-custom-light-phosphor-bronze-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin SP LIFESPAN Custom Light Phosphor Bronze Guitar Strings","https://www.ghmusic.com.au/martin-sp-lifespan-custom-light-phosphor-bronze-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin SP LIFESPAN Light Phosphor Bronze Guitar Strings","https://www.ghmusic.com.au/martin-sp-lifespan-light-phosphor-bronze-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin FX Light Phosphor Bronze Guitar Strings","https://www.ghmusic.com.au/martin-fx-light-phosphor-bronze-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin Silk & Steel Folk Guitar Strings","https://www.ghmusic.com.au/martin-silk-steel-folk-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"GHS Boomers GBM Electrics 11-50","https://www.ghmusic.com.au/ghs-boomers-gbm-electrics-11-50.html","https://www.ghmusic.com.au/guitars?limit=all"
"GHS Phosphor Bronze Acoustic Guitar Strings Extra Light","https://www.ghmusic.com.au/ghs-phosphor-bronze-acoustic-guitar-strings-extra-light.html","https://www.ghmusic.com.au/guitars?limit=all"
"Elixir Electric Custom Light 9-42 Electric Guitar Strings","https://www.ghmusic.com.au/elixir-electric-custom-light-9-42-electric-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Elixir Electric Light 10-46 Electric Guitar Strings","https://www.ghmusic.com.au/elixir-electric-light-10-46-electric-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Elixir Acoustic  Medium 13-56 Acoustic Guitar Strings","https://www.ghmusic.com.au/elixir-acoustic-medium-13-56-acoustic-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Elixir 12 String Acoustic  Light 10-47 Guitar Strings","https://www.ghmusic.com.au/elixir-12-string-acoustic-light-10-47-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Yamaha Gigmaker10 Electric Guitar Pack","https://www.ghmusic.com.au/yamaha-gigmaker10-electric-guitar-pack.html","https://www.ghmusic.com.au/guitars?limit=all"
"Yamaha GIGMAKERC40 Classical Guitar Pack","https://www.ghmusic.com.au/yamaha-gigmakerc40-classical-guitar-pack.html","https://www.ghmusic.com.au/guitars?limit=all"
"Vox Lil' Looper Effect Pedal","https://www.ghmusic.com.au/vox-lil-looper-effect-pedal.html","https://www.ghmusic.com.au/guitars?limit=all"
"ESP LTD H-351NT See Thru Black Cherry Guitar","https://www.ghmusic.com.au/ltd-h-351nt-see-thru-black-cherry.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Affinity Strat Pack ""Black"" With FM10G Amp","https://www.ghmusic.com.au/squier-affinity-strat-pack-black-with-fm10g-amp.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Affinity Strat Pack ""Sunburst"" With FM10G Amp","https://www.ghmusic.com.au/squier-affinity-strat-pack-sunburst-with-fm10g-amp.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Standard Telecaster MN Sunburst Guitar","https://www.ghmusic.com.au/fender-standard-telecaster-mn-sunburst.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Standard Telecaster MN Sunburst Left-Handed Guitar","https://www.ghmusic.com.au/fender-standard-telecaster-mn-sunburst-left-handed.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin OM-28E Retro Guitar","https://www.ghmusic.com.au/martin-om-28e-retro.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ibanez RX70QA Trans Black Sunburst Guitar","https://www.ghmusic.com.au/ibanez-rx70qa-trans-black-sunburst.html","https://www.ghmusic.com.au/guitars?limit=all"
"Line 6 POD HD 500X","https://www.ghmusic.com.au/line-6-pod-hd-500x.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fishman Triple Play","https://www.ghmusic.com.au/fishman-triple-play.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Affinity Stratocaster Left-Handed Guitar","https://www.ghmusic.com.au/fender-squier-affinity-stratocaster-left-handed.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Squier Deluxe Hot Rails Strat Black Guitar","https://www.ghmusic.com.au/fender-squier-deluxe-hot-rails-strat-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Classic Vibe 50's Telecaster Vintage Blonde Guitar","https://www.ghmusic.com.au/fender-squier-classic-vibe-50-s-telecaster-vintage-blonde.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier J Mascis Jazzmaster Guitar","https://www.ghmusic.com.au/fender-squier-j-mascis-jazzmaster.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Classic Vibe 50's Telecaster Butterscotch Guitar","https://www.ghmusic.com.au/fender-squier-classic-vibe-50-s-telecaster-butterscotch.html","https://www.ghmusic.com.au/guitars?limit=all"
